40130,a
19368,a
20841,a
8720,a
32730,a
19994,a
26047,a
44264,a
51023,a
22733,a
16609,a
50804,a
32599,a
51498,a
40976,a
37006,a
4192,a
2071,a
30759,a
15033,a
14406,a
3344,a
30974,a
26179,a
37521,a
37840,a
29216,a
27553,a
45356,a
10799,a
22913,a
2103,a
27116,a
10287,a
152,a
41711,a
8961,a
51643,a
11464,a
13704,a
45966,a
5406,a
45433,a
13291,a
49639,a
26244,a
1288,a
46967,a
15355,a
7658,a
24839,a
20386,a
706,a
19941,a
36990,a
19512,a
50011,a
16719,a
29434,a
30049,a
50604,a
48723,a
9583,a
42705,a
51363,a
43085,a
23308,a
13995,a
32819,a
13347,a
38518,a
6949,a
38058,a
42349,a
21291,a
32267,a
18824,a
50293,a
33416,a
34533,a
8622,a
41192,a
30107,a
23785,a
15769,a
50096,a
22354,a
13957,a
6987,a
18482,a
48651,a
8967,a
31370,a
22002,a
49202,a
19409,a
50386,a
51526,a
6375,a
38379,a
18647,a
27877,a
20406,a
18787,a
47817,a
1690,a
16768,a
26433,a
50028,a
14637,a
46472,a
48566,a
4796,a
9787,a
50830,a
27149,a
19871,a
1500,a
15984,a
20488,a
33996,a
20127,a
2435,a
7662,a
42974,a
6198,a
50602,a
35107,b
11455,b
50207,b
39703,b
30566,b
48548,b
29020,b
20503,b
35071,b
43584,b
46119,b
49714,b
18209,b
4897,b
16723,b
50624,b
21485,b
28380,b
32144,b
16402,b
24169,b
7312,b
5004,b
44265,b
11349,b
39980,b
34375,b
43206,b
5169,b
1526,b
13317,b
33973,b
40424,b
34712,b
16955,b
1215,b
5170,b
36890,b
42543,b
7801,b
19832,b
15696,b
25865,b
32621,b
33936,b
43739,b
18262,b
24226,b
18752,b
9212,b
42997,c
981,c
2205,c
49779,c
35819,c
22006,c
27495,c
10360,c
40823,c
370,c
10869,c
31083,c
16035,c
16807,c
21999,c
39636,c
49903,c
45266,c
19955,c
51216,c
14542,c
45455,c
15127,c
12447,c
48461,c
48083,c
13074,c
33250,c
4193,c
21174,c
6234,c
39330,c
50294,c
48892,c
10701,c
34677,c
9658,c
9398,c
25055,c
21780,c
31691,c
39369,c
40034,c
47176,c
34169,c
45222,c
26849,c
9079,c
10753,c
46485,c
42748,c
48293,c
5215,c
1854,c
15195,c
48663,c
15152,c
56,c
51883,c
40919,c
20747,c
6370,c
15870,c
33687,c
47723,c
26545,c
42188,c
35826,c
18362,c
42934,c
47415,c
26306,c
26683,c
16441,c
42685,c
45477,c
14635,c
8907,c
1610,c
10914,c
46710,c
50054,c
33620,c
27668,c
50144,c
17406,c
10171,c
